種別,機種名,シリーズ名,キャリア,初期設定方法を見る,製品画像URL,"4Gデータ通信
（楽天回線／KDDI回線）",5Gデータ通信,"通話
（楽天回線／KDDI回線）","SMS
（楽天回線)","SMS
（KDDI回線)",SMS,確認SIMタイプ,"APN自動設定
海外／国内",接続先回線切替,ETWS,"緊急呼時の高精度な位置情報測位
",デュアルSIM,確認済OS/SWバージョン,特記コメント,Rakuten Link動作確認結果,非公式スマホ,動作確認済モデル番号,備考,記載日,対応製品,AIチャット非表示製品
Androidスマートフォン,Xperia 1,Sony,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,△,△,〇,△,,Android　10　/　55.1.A.9.21,,,,,,2020/9/14,,
Androidスマートフォン,Xperia 1 III,Sony,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 11 / 61.0.A.14.3,楽天回線対応デバイスです。,,,,,2021/11/26,〇,
Androidスマートフォン,Xperia 1 IV,Sony,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / 64.0.A.8.82,楽天回線対応デバイスです。,,,,,2022/9/23,〇,
Androidスマートフォン,Xperia 1 V,Sony,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 13 / 67.0.A.3.1,楽天回線対応デバイスです。,,,,,2023/7/14,〇,
Androidスマートフォン,Xperia 5,Sony,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,△,△,〇,△,,Android 10 / 55.1.A.9.21,,,,,,2020/10/23,,
Androidスマートフォン,Xperia 5 III,Sony,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 11 / 61.0.A.23.46,楽天回線対応デバイスです。,,,,,2022/4/22,〇,
Androidスマートフォン,Xperia 5 IV,Sony,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 12 / 64.H.13.1,楽天回線対応デバイスです。,,,,,2023/2/8,〇,
Androidスマートフォン,Xperia 5 V,Sony,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano/eSIM,〇,〇,〇,〇,nanoSIM/eSIM,Android 13 / 67.0.A.8.37,楽天回線対応デバイスです。,,,,,2023/11/9,〇,
Androidスマートフォン,Xperia 8 Lite,Sony,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,△,△,〇,△,,Android 10 / 56.1.A.0.446,,,,,,2021/2/26,,
Androidスマートフォン,Xperia 10 V,Sony,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,,Android 13 / 68.0.A.1.167,「楽天回線対応デバイスです。」ではなく「この製品は下記機能がご利用いただけます」と記載していただきたいです,,,,,2023/8/28,×,
Androidスマートフォン,Xperia PRO-I,Sony,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android11 / 61.0.A.20.26,楽天回線対応デバイスです。,,,,,2021/12/15,〇,
Androidスマートフォン,ZenFone 3 (ZE520KL),ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,micro,△,△,△,△,,Android 8.0.0　/  OPR1.170623.026.JP_Phone-15.0410.1807.75,,,,,,2020/8/11,,
Androidスマートフォン,ZenFone 3 (ZE552KL),ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,micro,△,△,△,△,,Android 8.0.0　/  OPR1.170623.026.JP_Phone-15.0410.1807.75,,,,,,2020/8/11,,
Androidスマートフォン,ZenFone 3 Deluxe (ZS550KL),ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,micro,△,△,△,△,,Android 8.0.0　/  OPR1.170623.026.JP_user_80.30.123.118_20181102,,,,,,2020/8/11,,
Androidスマートフォン,ZenFone 3 Deluxe (ZS570KL),ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,micro,△,△,△,△,,Android 8.0.0　/  OPR1.170623.032.JP_Phone-15.0210.1807.67,,,,,,2020/8/11,,
Androidスマートフォン,ZenFone 3 Laser,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,micro,△,△,△,△,,Android 7.1.1　/  NMF26F.JP_user_32.40.106.93_20180807 071001008_201704280134,,,,,,2020/7/20,,
Androidスマートフォン,ZenFone 3 Max (ZC553KL),ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,micro,△,△,△,△,,Android 8.1.0　/  OPM1.171019.011.WW_Phone-15.0200.1905.512-0,,,,,,2020/8/11,,
Androidスマートフォン,ZenFone 3 Max (ZC520TL),ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,micro,△,△,△,△,,Android 7.0　/  NRD90M.JP_Phone-14.13.1711.87-20171201,,,,,,2020/8/11,,
Androidスマートフォン,ZenFone 3 Ultra,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 7.0　/  NRD90M.14.1010.1711.64-20171228 070010917_201612050002,,,,,,2020/7/20,,
Androidスマートフォン,ZenFone 4,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 8.0.0 / OPR6.170623.013.WW_Phone-15.0405.1806.116,,,,,,2020/7/13,,
Androidスマートフォン,ZenFone 4 Max,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 8.1.0 / OPM1.171019.011.WW_Phone-15.2016.1907.523-1,,,,,,2020/7/6,,
Androidスマートフォン,ZenFone 4 Max Pro,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 8.1.0 / OPM1.171019.011.WW_Phone-15.2016.1907.519-0,,,,,,2020/8/11,,
Androidスマートフォン,ZenFone 4 Pro,ASUS,その他（SIMフリースマホ）,,,〇,-,×,〇,〇,〇,nano,△,△,△,△,,Android 8.0.0 / OPR1.170623.032.WW_Phone-15.0410.1911.117,,,,,,2020/7/13,,
Androidスマートフォン,ZenFone 4 Selfie,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 8.1.0 / OPM1.171019.011.WW_Phone-15.0400.1910.518-0,,,,,,2020/7/6,,
Androidスマートフォン,ZenFone 4 Selfie Pro,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 7.1.0 / NMF26F.WW_user_71.50.395.99_20190918 071001027_201705261545,,,,,,2020/7/13,,
Androidスマートフォン,ZenFone 5,ASUS,その他（SIMフリースマホ）,,,×(KDDI回線のみ○),-,×,×,×,×,nano,△,△,△,△,,Android 9 / PPR1.180610.009.WW_Phone-16.0615.2005.130,,,,,,2020/6/29,,
Androidスマートフォン,ZenFone 5Q,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 9 /　PPR1.180610.009.WW_Phone-16.0610.2002.94,,,,,,2020/6/29,,
Androidスマートフォン,ZenFone 5Z,ASUS,その他（SIMフリースマホ）,,,×(KDDI回線のみ○),-,×,×,×,×,nano,△,△,△,△,,Android 10　/ QKQ1.191008.001.WW_user_100.10.107.87_20200520 release-keys,,,,,,2020/6/29,,
Androidスマートフォン,ZenFone 6,ASUS,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,一部〇の可能性あり,△,一部〇の可能性あり,△,,WW_17.1810.2001.119,,,,,"APN 自動設定 : 海外動作未確認
ETWS : 動作未確認
---5/18追記
QP1A.190711.005.WW_Phone-17.1810.2002.137
でも動作確認済",2020/5/13,,
Androidスマートフォン,ZenFone 7,ASUS,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 11　/ WW_30.40.30.96,,,,,,2021/4/16,〇,
Androidスマートフォン,ZenFone 7 Pro,ASUS,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 11　/ WW_30.40.30.96,,,,,,2021/4/16,〇,
Androidスマートフォン,Zenfone 8,ASUS,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 11　/ WW_30.11.51.112,楽天回線対応デバイスです。,,,,,2021/8/27,〇,
Androidスマートフォン,Zenfone 8 Flip,ASUS,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 11 / WW_30.12.82.21,楽天回線対応デバイスです。,,,,,2021/9/30,〇,
Androidスマートフォン,Zenfone 9,ASUS,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 12 / WW_32.2050.2050.29,楽天回線対応デバイスです。,,,,,2022/12/14,〇,
Androidスマートフォン,Zenfone 10,ASUS,その他（SIMフリースマホ）,,,〇,〇,〇,〇,〇,〇,nano,〇,〇,〇,〇,nanoSIM x 2,Android 13 / WW_33.0220.0220.75,楽天回線対応デバイスです。,,,,,2023/11/9,〇,
Androidスマートフォン,ZenFone AR,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 7.0　/  NRD90M.JP_Phone-14.1600.1711.36-20171117 070010954_201701261218,,,,,,2020/7/20,,
Androidスマートフォン,ZenFone Go,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 5.1.1　/  LMY47V.JP_Phone-13.0209.1705.116-20170621 044040677_201512290127 0020000400035,,,,,,2020/8/3,,
Androidスマートフォン,ZenFone Live,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 6.0.1　/ MMB29P.JP_Phone-13.1407.1804.64-20180612 060020952_201701240057,,,,,,2020/7/13,,
Androidスマートフォン,ZenFone Live (L1),ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 8　/ WW_Phone-15.07.2005.55,,,,,,2020/6/22,,
Androidスマートフォン,ZenFone Max,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,micro,△,△,△,△,,Android 6.0.1　/ MMB29P.JP_Phone-13.8.26.43_20160803 060020723_201603020037,,,,,,2020/8/3,,
Androidスマートフォン,ZenFone Max (M1),ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 8,,,,,,2020/4/22,,
Androidスマートフォン,ZenFone Max (M2),ASUS,その他（SIMフリースマホ）,,,〇,-,〇,〇,〇,〇,nano,〇,△,〇,△,,Android 9 /　WW_Phone-16.2018.2010.76,,,,,Maker：ASUS,2020/11/24,,
Androidスマートフォン,ZenFone Max Plus (M1),ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 7　/　WW_Phone-14.02.1808.63-20180804,,,,,,2020/6/22,,
Androidスマートフォン,ZenFone Max Pro (M1),ASUS,その他（SIMフリースマホ）,,,×(楽天回線のみ○),-,×,×,×,×,nano,一部〇の可能性あり,△,△,△,,Android 9　/ PKQ1.WW_Phone-16.2017.2005.082-20200506,,,,,APN 自動設定 : 海外動作未確認,2020/6/22,,
Androidスマートフォン,ZenFone Max Pro (M2),ASUS,その他（SIMフリースマホ）,,,〇,-,×,〇,×,×,nano,△,△,△,△,,Android 9 /　PKQ1.WW_Phone-16.2017.2005.092-20200518,,,,,"Maker：ASUS
APN 自動設定 : 海外✗,国内○",2020/6/15,,
Androidスマートフォン,ZenFone Zoom,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,micro,△,△,△,△,,Android 6.0.1　/  MMB29P.JP-ASUS_Z00X-4.21.40.209_20161216_7978_user 060020736_201603210001,,,,,,2020/8/3,,
Androidスマートフォン,ZenFone Zoom S,ASUS,その他（SIMフリースマホ）,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 8.0.0　/  OPR1.170623.026.JP_user_80.30.76.67_20190122,,,,,,2020/7/13,,
Androidスマートフォン,Disney Mobile on docomo DM-01H,SHARP,NTTドコモ,,,×(楽天回線のみ○),-,×(楽天回線のみ○),〇,×,×,nano,△,△,△,△,,Android 5.0.1 /　01.00.06,,,,,"Maker：SHARP
データ通信　：楽天回線のみ〇",2020/8/3,,
Androidスマートフォン,Disney Mobile on docomo DM-02H,その他,NTTドコモ,,,×(楽天回線のみ○),-,×,〇,×,×,nano,△,△,△,△,,Android 6.0.1 /　MXB48T,,,,,"Maker：LG
データ通信　：楽天回線のみ〇",2020/8/11,,
Androidスマートフォン,Disney Mobile on docomo DM-01J,SHARP,NTTドコモ,,,×(楽天回線のみ○),-,×,〇,×,×,nano,△,△,△,△,,Android 6.0.1 /　01.00.14,,,,,"Maker：SHARP
データ通信　：楽天回線のみ〇",2020/7/20,,
Androidスマートフォン,Disney Mobile on docomo DM-01K,その他,NTTドコモ,,,×(楽天回線のみ○),-,×,〇,×,×,nano,△,△,△,△,,Android 7.1.2 /　DM01K10l,,,,,"Maker：LG
データ通信　：楽天回線のみ〇",2020/6/22,,
Androidスマートフォン,LG style L-03K,その他,NTTドコモ,,,×(楽天回線のみ○),-,×,〇,×,×,nano,△,△,△,△,,Android 9 /　PKQ1.190522.001,,,,,"Maker：LG
データ通信　：楽天回線のみ〇",2020/6/22,,
Androidスマートフォン,LG style2 L-01L,その他,NTTドコモ,,,×,-,×,〇,×,×,nano,△,△,△,△,,Android 9 /　PKQ1.190302.001,,,,,"Maker：LG
データ通信　：楽天回線のみ〇",2020/6/22,,
Androidスマートフォン,LG style3 L-41A,その他,NTTドコモ,,,×(楽天回線のみ○),-,×,〇,×,×,nano,△,△,△,△,,Android 10 /　QKQ1.200308.002,,,,,"Maker：LG
データ通信　：楽天回線のみ〇",2021/2/5,,
Androidスマートフォン,LG V60 ThinQ 5G L-51A,その他,NTTドコモ,,,×(楽天回線のみ○),×,×,〇,×,×,nano,△,△,△,△,,Android 10 /　QKQ1.191222.002 (ソフトウェアバージョン:L51A10k),,,,,Maker：LGデータ通信　：楽天回線のみ〇,2021/2/26,,
Androidスマートフォン,LG VELVET,その他,NTTドコモ,,,×(楽天回線のみ○),×,×,〇,×,×,nano,△,△,△,△,,Android 10 / L52A10j,,,,,,2021/6/7,,
Androidスマートフォン,MONO MO-01J,その他,NTTドコモ,,,×(楽天回線のみ○),-,×(楽天回線のみ○),〇,×,×,nano,△,△,△,△,,Android 7.1.1 /　DCM_JP_MO-01J_NV1.0.0B33,,,,,"Maker：ZTE
データ通信・通話　：楽天回線のみ〇",2020/7/20,,
Androidスマートフォン,MONO MO-01K,その他,NTTドコモ,,,×(楽天回線のみ○),-,×(楽天回線のみ○),〇,×,×,nano,△,△,△,△,,Android 8.0.0 /　DCM_JP_MO-01K_OV1.6.0B01,,,,,"Maker：ZTE
データ通信・通話　：楽天回線のみ〇",2020/7/6,,
Androidスマートフォン,Qua phone KYV37,その他,NTTドコモ,,,×(楽天回線のみ○),-,×,×,×,×,nano,△,△,△,△,,Android 5.1.1 /　101.0.2330,,,,,"Maker：ZTE
データ通信・通話　：楽天回線のみ〇",2020/8/3,,
Androidスマートフォン,Qua phone PX LGV33,その他,NTTドコモ,,,×(楽天回線のみ○),-,×(楽天回線のみ○),〇,×,×,nano,△,△,△,△,,Android 8.1.0 /　DCM_JP_Z-01K_OV1.0.0B36,,,,,"Maker：ZTE
データ通信・通話　：楽天回線のみ〇",2020/6/29,,
Androidスマートフォン,TOUGHBOOK P-01K,その他,NTTドコモ,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 8.1.0/  15-03-021-073,,,,,Maker：Panasonic,2020/6/22,,
Androidスマートフォン,V20 PRO L-01J,その他,NTTドコモ,,,×(楽天回線のみ○),-,×,〇,×,×,nano,△,△,△,△,,Android 8.0.0 /　OPR1.170623.032,,,,,"Maker：LG
データ通信　：楽天回線のみ〇",2020/7/20,,
Androidスマートフォン,V30+ L-01K,その他,NTTドコモ,,,×(楽天回線のみ○),-,×,〇,×,×,nano,△,△,△,△,,Android 5.1 / freetel_FTJ161A_20161110,,,,,Maker：auブランドモデル,2020/6/29,,
Androidスマートフォン,あんしんスマホ KY-51B,その他,NTTドコモ,,,×(楽天回線のみ○),×,×(楽天回線のみ○),〇,×,×,nano,△,△,△,△,,Android 11 / 1.002DC,,,,,京セラ,2022/3/29,,
Androidスマートフォン,DuraForce EX KY-51D,その他,NTTドコモ,,,〇,〇,〇,〇,〇,〇,nano,△,△,△,△,,Android 13 / 1.000DC,,,,,京セラ,2024/3/7,,
Androidスマートフォン,らくらくスマートフォン F-42A,FCNT,NTTドコモ,,,×(楽天回線のみ○),-,×(楽天回線のみ○),〇,×,×,nano,△,△,△,△,,Android 10　/　V16R054A,,,,,,2021/2/5,,
Androidスマートフォン,らくらくスマートフォン F-52B,FCNT,NTTドコモ,,,×(楽天回線のみ○),×,×(楽天回線のみ○),〇,×,×,nano,△,△,△,△,,Android 11 / V14R069A,,,,,富士通,2022/3/29,,
Androidスマートフォン,らくらくスマートフォン me F-01L,FCNT,NTTドコモ,,,×,-,×,〇,×,×,nano,△,△,△,△,,Android 8.1.0　/　V29R067B,,,,,データ通信・通話　：楽天回線のみ〇,2020/6/15,,
Androidスマートフォン,らくらくスマートフォン me F-03K,FCNT,NTTドコモ,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 7.1.2　/　V37R066A,,,,,,2020/6/22,,
Androidスマートフォン,らくらくスマートフォン4 F-04J,FCNT,NTTドコモ,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 6.0.1　/　V36R093B,,,,,,2020/7/20,,
Androidスマートフォン,BASIO2,SHARP,au,,,〇,-,×,×,×,×,nano,△,△,△,△,,Android　6.0.1　/　01.00.09,,,,,メーカー：SHARP,2020/7/20,,
Androidスマートフォン,BASIO3 KYV43,その他,au,,,〇,-,×,〇,×,×,nano,△,△,△,△,,Android 7.1.2 / 1.120FO,,,,,,2020/8/3,,
Androidスマートフォン,BASIO4 KYV47,その他,au,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 10 / 1.040HA,,,,,,2020/7/27,,
Androidスマートフォン,GRATINA KYV48,その他,au,,,×,-,×,×,×,×,nano,△,△,△,△,,Android 10 / 1.020RE,,,,,,2021/2/5,,
