,oem,device,swver
,Balmuda,BALMUDA Phone X01A,1.200MI
,FCNT,arrows RX,V12R034C
,FCNT,arrows BZ02 ,V05RB52F
,Google,Pixel 4,QQ3A.200605.001
,Google,Pixel 4 XL,QQ3A.200605.001
,Google,Pixel 4a,QD4A.200317.024.A1
,Google,Pixel 4a (5G),RD1A.200810.020
,Google,Pixel 5,RD1A.200810.020
,Google,Pixel 5a (5G),RD2A.210605.006
,Google,Pixel 6※5,SQ1D.220105.007
,Google,Pixel 6a※5,TQ1A.230205.002
,Google,Pixel 6 Pro※5,TQ1A.221205.011 
,Google,Pixel 7※5,TQ1A.221205.011 
,Google,Pixel 7a※5,TD4A.221205.042
,Google,Pixel 7 Pro※5,TQ1A.221205.011 
,Google,Pixel 8※5,UD1A.230803.022.C1
,Google,Pixel 8a,UD2A.231203.054
,Google,Pixel 8 Pro※5,UD1A.230803.022
,Google,Pixel Fold,UP1A.231005.007.A1
,HP,HP Chromebook x360 13c,18500.5001.00.05.27.17
,HP,HP Chromebook x2 11,14996.0.0
,Huawei,HUAWEI nova 5T,9.1.0.121
,Huawei,"HUAWEI nova lite 3※1,2,4",9.1.0.283(C635xxxxxx)
,Huawei,"HUAWEI P30 lite※1,2",9.1.0.253(C635xxxxxx)
,Inseego,M2000,4.14.117
,Lenovo,ThinkPad X1 Nano Gen1,T99W175.F0.1.0.0.9.RT.002 064
,Lenovo,ThinkPad X1 Carbon Gen 9,T99W175.F0.1.0.0.9.RT.002 064
,Lenovo,ThinkPad X1 Yoga Gen 6,T99W175.F0.1.0.0.9.RT.002 064
,Lenovo,ThinkPad X13s Gen1,T99W175.F0.6.0.0.6.RT.003
,Motorola,motorola edge 20 ,RRG31.Q3-23-85
,Motorola,moto g32,S2SN32.34-60
,NEC Platforms,Aterm MP02LN,1.0.2
,NEC Platforms,Aterm MR05LN RW,3.0.0
,NEC Platforms,Aterm MR51FN,v1.2.0
,Nothing,Nothing Phone (1),Spacewar-S1.1-221121-2306 
,Nothing,Nothing Phone (2),Pong-T2.0-231024-2214 
,OPPO,AX7,CPH1903EX_11_A.17
,OPPO,Find X,CPH1875EX_11_C.17
,OPPO,Find X3 Pro,CPH2173_11_A.22
,OPPO,OPPO A5 2020,CPH1943EX_11_A.23
,OPPO,OPPO A54 5G,CPH2303_11_A.02
,OPPO,OPPO A55s 5G※4,CPH2309_11_A.09(楽天モバイルでご購入時) / CPH2309_11_A.09(楽天モバイル以外でご購入時)
,OPPO,OPPO A73,CPH2099_11_A.27
,OPPO,OPPO A77,CPH2385_11_A.30
,OPPO,OPPO A79 5G,CPH2557_13.1.1.546(EX01)(楽天モバイルでご購入時) / CPH2557_13.1.1.544(EX01)(楽天モバイル以外でご購入時)
,OPPO,OPPO Reno A 128GB,CPH1983EX_11_A.12
,OPPO,OPPO Reno3 A,CPH2013_11_A.19
,OPPO,OPPO Reno5 A,CPH2199_11_A.09(楽天モバイルでご購入時) /CPH2199_11_A.06(楽天モバイル以外でご購入時)
,OPPO,OPPO Reno7 A,CPH2353_11_A.09(楽天モバイルでご購入時) /CHP2353_11_A.08(楽天モバイル以外でご購入時)
,OPPO,OPPO Reno9 A,CPH2523_13.1.0.523(EX01)
,OPPO,OPPO Reno10 Pro 5G,CPH2541_13.1.1.146(EX01)
,OPPO,R17 Pro,CPH1877EX_11_C.24
,OPPO,Reno 10x Zoom,CPH1919EX_11_A.16
,Samsung,Galaxy A7,A750CONU0ASI1
,Samsung,Galaxy A23 5G,A233CONU1AVI7
,Samsung,Galaxy M23 5G,SP1A.210812.016.M236QOPU1AVH1
,Samsung,Galaxy Note10+,N975CONU1ASJ9
,Samsung,Galaxy S10,G973CONU1ASJE
,Samsung,Galaxy S23,"S911CONU1AWC2	"
,Samsung,Galaxy Z Flip4,F721CONU1AVH7
,SHARP,AQUOS R compact SH-M06,02.00.02
,SHARP,AQUOS R2 compact SH-M09,01.00.08
,SHARP,AQUOS R5G,01.00.05
,SHARP,AQUOS R6 SH-M22,01.00.02
,SHARP,AQUOS sense lite SH-M05,03.00.04
,SHARP,AQUOS sense plus SH-M07,02.00.02
,SHARP,AQUOS sense2 SH-M08,02.00.04
,SHARP,AQUOS sense3 lite SH-RM12,01.00.02
,SHARP,AQUOS sense3 plus SH-M11,00JP_1_400
,SHARP,AQUOS sense3 plus SH-RM11,67JP_1_330_B01
,SHARP,AQUOS sense3 SH-M12,01.00.05
,SHARP,AQUOS sense4 SH-M15,01.00.06
,SHARP,AQUOS sense4 lite SH-RM15,01.00.04
,SHARP,AQUOS sense4 plus SH-M16,67JP_1_03A(楽天モバイルでご購入時) / 00JP_V2.130 (楽天モバイル以外でご購入時)
,SHARP,AQUOS sense5G SH-M17,01.00.00
,SHARP,AQUOS sense6 SH-RM19,01.00.00
,SHARP,AQUOS sense6 SH-M19,"01.00.00	"
,SHARP,AQUOS sense6s  SH-RM19s,01.00.00
,SHARP,AQUOS sense7  SH-M24,01.00.01
,SHARP,AQUOS sense8 SH-M26,01.00.02(楽天モバイルでご購入時) / 01.00.05 (楽天モバイル以外でご購入時)
,SHARP,AQUOS wish SH-M20,01.00.00(楽天モバイルでご購入時) / 00JP_2_21D(楽天モバイル以外でご購入時)
,SHARP,AQUOS wish3 SH-M25,67JP_1_20B
,SHARP,AQUOS zero SH-M10,01.00.03
,SHARP,AQUOS zero2 SH-M13,01.00.01
,SHARP,AQUOS zero6 SH-RM18,01.00.00
,Sony ,Xperia 1 IV,64.0.A.8.82
,Sony ,Xperia 1 V,67.0.A.3.1
,Sony ,Xperia 5 III,61.0.A.23.46
,Sony ,Xperia 5 IV,64.0.H.6.27(楽天モバイルでご購入時) / 64.H.13.1(楽天モバイル以外でご購入時)
,Sony ,Xperia 5 V,67.0.A.8.37
,Sony ,Xperia 10 III Lite,62.0.A.5.61
,Sony ,Xperia 10 IV,65.0.A.1.172
,Sony ,Xperia 10 V,68.0.A.1.136
,Sony ,Xperia Ace,53.0.C.0.220
,Sony ,Xperia PRO-I,61.0.A.20.26
,VAIO,VAIO SX12,T99W175.F0.1.0.0.9.RT.002
,VAIO,VAIO ProPJ,T99W175.F0.1.0.0.9.RT.002
,VAIO,VAIO SX14,T99W175.F0.1.0.0.9.RT.002
,VAIO,VAIO ProPK,T99W175.F0.1.0.0.9.RT.002
,Xiaomi,POCO F4 GT,V13.0.10.0.SLJMIXM
,Xiaomi,Redmi Note 11,MIUI Global 13.0.9 安定版 13.0.9.0(RGCMIXM)
,Xiaomi,Redmi Note 11 Pro 5G,MIUI Global 13.0.2 安定版13.0.2.0(RKCJPRK)(楽天モバイルでご購入時)/ V13.0.1.0.SKCJPXM(楽天モバイル以外でご購入時)
,Xiaomi,Mi Note 10 Lite,V 12.1.4.0.RFNMIXM 
,Xiaomi,Redmi Note 10T,V13.0.2.0.SKNJPX​M
,Xiaomi,Mi 11 Lite 5G,MIUI Global 13.0.3 安定版 13.0.3.0(SKIJPXM)
,Xiaomi,Xiaomi 11T Pro,MIUI Global 13.0.5 安定版 13.0.5.0(SKDJPXM)
,ZTE,ZTE Cute Wi-Fi ,MF920C_a1.4_U
,楽天モバイル,Rakuten BIG s※4,3917JR.210401.0S
,楽天モバイル,Rakuten BIG※4,ZR01 a26.0
,楽天モバイル,Rakuten Hand※4,P710AE_10.0_RMN_JP_81
,楽天モバイル,Rakuten Hand 5G※4,P780AE_11.0_RMN_JP_120
,楽天モバイル,Rakuten Mini※4,C330AE_9.0_RMN_JP_55_SS
,楽天モバイル,Rakuten WiFi Pocket※3,R310_V2.12_20201127
,楽天モバイル,Rakuten WiFi Pocket 2B,ZR02M_a7.1
,楽天モバイル,Rakuten WiFi Pocket 2C,ZR03M_a3.0
