key_code,key_code2,directory1,directory2,pref,city,kv_img,kv_cth_pc,kv_cth_sp,kv_notice_txt,kvbn1_img_pc,kvbn1_img_sp,kvbn1_alt,kvbn1_url,kvbn1_blank,cover_ratio,attention1_title,attention1_url,attention2_title,attention2_url,attention3_title,attention3_url,attention4_title,attention4_url,attention5_title,attention5_url,area_map,os_video,os_live,os_game,os_music,os_dl,os_ul,os_utilization,os_out-of-range,os_consistent-quality,search_city,x_account,x_bn_pc,x_bn_sp,bn1_img_pc,bn1_img_sp,bn1_alt,bn1_url,bn1_blank,bn2_img_pc,bn2_img_sp,bn2_alt,bn2_url,bn2_blank,us_title,us_ratio,us_voice ,uv1_img,uv1_title,uv1_url,uv2_img,uv2_title,uv2_url,uv3_img,uv3_title,uv3_url,q1_n,q1_img_pc,q1_img_sp,q1_percentage,q1_disclaimer,q2_n,q2_img_pc,q2_img_sp,q2_percentage,q2_disclaimer,q_prefecture
iwate_3201,iwate_morioka,iwate,3201,岩手県,盛岡市,kv_3201.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.95%,,,,,,,,,,,map_3201.png,,,1,,1,1,1,,1,盛岡市,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,130,q_img_1_pc.png,q_img_1_sp.png,83,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,145,q_img_2_pc.png,q_img_2_sp.png,85,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
miyagi_pref,miyagi_pref,miyagi,,宮城県,,kv_miyagi.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.84%,,,,,,,,,,,miyagi_map.png?231122,,1,,,,1,1,,,,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,eagles2024_pc.png,eagles2024_sp.png,楽天モバイルに契約すると楽天イーグルスのチケットやグッズがおトクに！,https://www.rakuteneagles.jp/lp/rakutenmobile/?l-id=area_prefecture_miyagi_eaglescp_news,,,,,,,,,,uv1_miyagi.jpg,乗り換えで毎月約1万5千円も節約！周りにもおすすめしています,https://network.mobile.rakuten.co.jp/uservoice/13/,,,,,,,600,q_img_2_pc.png,q_img_2_sp.png,82,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,600,q_img_3_pc.png,q_img_3_sp.png,81,※楽天モバイル利用者が「是非使い続けたい」「使い続けたい」「どちらかといえば使い続けたい」と回答した割合,
miyagi_4101,miyagi_sendai,miyagi,4101,宮城県,仙台市,kv_4101.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.99%,,,,,,,,,,,map_4101.png,,,,,,1,1,,,仙台市,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,eagles2024_pc.png,eagles2024_sp.png,楽天モバイルに契約すると楽天イーグルスのチケットやグッズがおトクに！,https://www.rakuteneagles.jp/lp/rakutenmobile/?l-id=area_prefecture_miyagi_eaglescp_news,,,,,,,,,,,,,,,,,,,392,q_img_2_pc.png,q_img_2_sp.png,82,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,392,q_img_3_pc.png,q_img_3_sp.png,81,※楽天モバイル利用者が「是非使い続けたい」「使い続けたい」「どちらかといえば使い続けたい」と回答した割合,
akita_pref,akita_pref,akita,,秋田県,,kv_akita.jpg,kv_cth_tohoku_pc.png?240207,kv_cth_tohoku_sp.png?240207,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.75%,,,,,,,,,,,akita_map.png?231122,1,,1,1,1,1,1,1,1,,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,304,q_img_1_pc.png,q_img_1_sp.png,82,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,353,q_img_2_pc.png,q_img_2_sp.png,83,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
akita_5201,akita_akita,akita,5201,秋田県,秋田市,kv_5201.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.97%,,,,,,,,,,,map_5201.png,1,,1,,,1,1,,1,秋田市,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,147,q_img_1_pc.png,q_img_1_sp.png,83,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,174,q_img_2_pc.png,q_img_2_sp.png,83,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
yamagata_pref,yamagata_pref,yamagata,,山形県,,kv_yamagata.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.85%,,,,,,,,,,,yamagata_map.png?231122,,,1,1,1,,1,1,,,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,314,q_img_1_pc.png,q_img_1_sp.png,87,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,384,q_img_2_pc.png,q_img_2_sp.png,82,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
yamagata_6201,yamagata_yamagata,yamagata,6201,山形県,山形市,kv_6201.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.96%,,,,,,,,,,,map_6201.png,,,1,,,1,1,,,山形市,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,314,q_img_1_pc.png,q_img_1_sp.png,87,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,384,q_img_2_pc.png,q_img_2_sp.png,82,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,1
fukushima_pref,fukushima_pref,fukushima,,福島県,,kv_fukushima.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.80%,,,,,,,,,,,fukushima_map.png?231122,1,1,,,,1,,,1,,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,483,q_img_1_pc.png,q_img_1_sp.png,86,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,576,q_img_2_pc.png,q_img_2_sp.png,85,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
fukushima_7204,fukushima_iwaki,fukushima,7204,福島県,いわき市,kv_7204.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.81%,,,,,,,,,,,map_7204.png,1,,1,,,1,1,,1,いわき市,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,99,q_img_1_pc.png,q_img_1_sp.png,84,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,116,q_img_2_pc.png,q_img_2_sp.png,86,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
fukushima_7203,fukushima_koriyama,fukushima,7203,福島県,郡山市,kv_7203.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.94%,,,,,,,,,,,map_7203.png,1,,1,,,1,1,1,1,郡山市,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,111,q_img_1_pc.png,q_img_1_sp.png,86,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,129,q_img_2_pc.png,q_img_2_sp.png,88,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
fukushima_7201,fukushima_fukushima,fukushima,7201,福島県,福島市,kv_7201.jpg,kv_cth_tohoku_pc.png?231212,kv_cth_tohoku_sp.png?231212,"※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出
※2 携帯電話の事業別契約者数を、大手3キャリアはTCA（一般社団法人 電気通信事業者協会）の結果と自社データから算出。2023年6月と9月の結果に基づき契約数の増加数を算出し比較。東北エリアとは、青森県、岩手県、宮城県、秋田県、山形県、福島県を指す。",,,,,,99.93%,,,,,,,,,,,map_7201.png,,,1,,1,1,1,1,1,福島市,RM__Tohoku,bnr-twitter-tohoku-pc.png,bnr-twitter-tohoku-sp.png,,,,,,,,,,,,,,,,,,,,,,,104,q_img_1_pc.png,q_img_1_sp.png,89,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,124,q_img_2_pc.png,q_img_2_sp.png,86,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
tochigi_pref,tochigi_pref,tochigi,,栃木県,,kv_tochigi.jpg,catch-pc.png?231212,catch-sp.png?231212,※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出,,,,,,99.58%,,,,,,,,,,,tochigi_map.png?231122,1,1,,1,1,1,,,1,,RM__Ktkantoshin,bnr-twitter-ktkantoshin-pc.png,bnr-twitter-ktkantoshin-sp.png,,,,,,,,,,,,,,,,,,,,,,,512,q_img_1_pc.png,q_img_1_sp.png,84,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,600,q_img_2_pc.png,q_img_2_sp.png,85,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
tochigi_9201,tochigi_utsunomiya,tochigi,9201,栃木県,宇都宮市,kv_9201.jpg,catch-pc.png?231212,catch-sp.png?231212,※1 2023年9月時点。人口カバー率は、国勢調査に用いられる約500m区画において、50%以上の場所で通信可能なエリアを基に算出,,,,,,99.99%,,,,,,,,,,,map_9201.png,1,,1,,1,1,1,1,1,宇都宮市,RM__Ktkantoshin,bnr-twitter-ktkantoshin-pc.png,bnr-twitter-ktkantoshin-sp.png,,,,,,,,,,,,,,,,,,,,,,,532,q_img_1_pc.png,q_img_1_sp.png,87,※楽天モバイルユーザーのうち楽天モバイルメイン利用者が「絶対に乗り換えてよかったと思う」「乗り換えてよかったと思う」「どちらかといえば乗り換えてよかったと思う」と回答した割合,193,q_img_2_pc.png,q_img_2_sp.png,88,※楽天モバイル利用者が「毎月の支出を節約できる」に対して「とてもそう思う」「そう思う」「どちらかといえばそう思う」と回答した割合,
