service_provider,service_name,transmission_data,usage_purpose,destination_purpose,privacy_policy_link,opt_out_link
グーグル合同会社,Google広告、Google Marketing Platform,行動履歴情報,Map・タグマネージャ・サーチコンソール、広告,訪問者に関する情報を収集・分析, https://policies.google.com/technologies/ads,
ニュアンスコミュニケーションズ・ジャパン株式会社,NDEP,新規の場合は会話履歴のみ／既存の場合は楽天IDでログインをしているので、ログイン情報,チャット,問い合わせに対応するため, https://www.nuance.com/ja-jp/about-us/company-policies/privacy-policies.html, https://www.nuance.com/subscription.html
株式会社アイティーシー, Storm,電話番号／会話内容,電話受付,問い合わせに対応するため, https://comm.rakuten.co.jp/policy/,
株式会社Asobica,coorum,ユーザーログイン履歴（会員情報連携）、コミュニティサイトへの質問および回答結果,コミュニティサイト,アカウント情報と投稿内容の連携,https://coorum.jp/lp_privacypolicy/,
OCEAN'S株式会社,NATIVE OCEAN,,広告・アフィリエイト,訪問者に関する情報を収集・分析,,
グーグル合同会社,Google広告、Google Analytics,,タグマネージャ、アナリティクス,訪問者に関する情報を収集・分析,https://policies.google.com/technologies/ads,https://adssettings.google.com/
ヤフー株式会社,,,タグマネージャ、広告,訪問者に関する情報を収集・分析, https://privacy.yahoo.co.jp/, https://btoptout.yahoo.co.jp/optout/index.html
日本マイクロソフト株式会社,Microsoft 広告,行動履歴情報,広告・アフィリエイト,訪問者に関する情報を収集・分析,https://privacy.microsoft.com/ja-jp/privacystatement#maincookiessimilartechnologiesmodule,https://account.microsoft.com/privacy/ad-settings/signedout?refd=support.microsoft.com&ru=https%3A%2F%2Faccount.microsoft.com%2Fprivacy%2Fad-settings%3Frefd%3Dsupport.microsoft.com
株式会社メディア４ｕ,,契約者電話番号,SMS 送信,ユーザへのサービス提供のため,https://www.media4u.co.jp/privacy,
三菱UFJファクター株式会社,,契約者カナ氏名、生年月日,口座振替,ユーザへのサービス提供のため,https://www.muf.bk.mufg.jp/policy/,
楽天グループ株式会社,,契約者カナ氏名、生年月日、カード名義人,カード与信,ユーザへのサービス提供のため,,
株式会社Gunosy,Gunosy Network Ads,クッキーなどデバイスに記録されている識別子、IPアドレス、閲覧したサイトのURLやアプリの画面名、当社訪問の直前に閲覧したサイトのURL、閲覧日時、ウェブブラウザやデバイスの種類、バージョン、デバイスの画面サイズ等の閲覧環境の情報,広告,訪問者に関する情報を収集・分析,https://gunosy.com/about/privacypolicy,https://gunosy.co.jp/privacy/
株式会社Kaizen Platform,Kaizen Platform,行動履歴情報,計測,訪問者に関する情報を収集・分析,https://docs.kaizenplatform.net/ja/privacy/,
株式会社アイモバイル,i-mobile,cookie、行動履歴情報,広告・計測,訪問者に関する情報を収集・分析,https://www.i-mobile.co.jp/privacy.html,https://www.i-mobile.co.jp/optout.html
