掲載順,管理表Key,link,bnr,title,description,annotation,service,benefit,display_price_text,20240522-0900,,
11,電話番号シェアサービスCPN_240301,/service/number-share/?l-id=campaign_member_service_number-share,bnr-service_number-share-campaign-328-185-240301.png,電話番号シェアサービス 3カ月利用料相当ポイント還元キャンペーン,"電話番号シェアサービス（月額550円）。期間中にお申し込みで3カ月分（1,650円）を1,650ポイント還元で実質3カ月無料！",,楽天モバイル,ポイント,1,,,
12,Watch×保険_230915,/campaign/applewatch-insurance/?l-id=campaign_member_campaign_applewatch-insurance,bnr-watch-insurance-328-185-230915.png,Apple Watchご購入でワークアウト保険が2年間無料！,楽天モバイルでApple Watch購入でワークアウト保険が2年間無料で付帯されるおトクな特典のご案内です。,　,暮らし・生活,景品・その他,　,,,
13,キャリア決済_240201,/campaign/payment-google/?l-id=campaign_member_campaign_payment-google,bnr-payment-google-328-185-240201.png,Google Play ストア・楽天モバイルキャリア決済ご利用キャンペーン,期間中にAndroidでのアプリ購入やアプリ内課金を、「楽天モバイルキャリア決済」で支払うと、初めてのご利用でお支払い金額の最大2％分のポイント還元！,※楽天カードご利用通常ポイント1%＋キャリア決済ご利用1%ポイント還元。,楽天モバイル,ポイント, ,,,
14,SPU_payment_231201,/campaign/spu/payment/?l-id=campaign_member_campaign_spu_payment,bnr-spu-payment-328-185-231201.png,SPU（楽天モバイルキャリア決済）,"楽天モバイルキャリア決済（Androidのみ）を当月、合計2,000円（税込）以上ご利用で その月の楽天市場でのお買い物がポイント＋2倍に！さらに楽天サービスを使えば使うほどポイントUPします！",,楽天モバイル／お買い物,ポイント,,,,
15,市場店アクセCPN_221222,https://www.rakuten.ne.jp/gold/rakutenmobile-store/product/accessory/apple/case/?scid=wi_ich_accy_0021cpn2109,bnr-ichiba-accessories-328-185-221222.png,【楽天モバイル公式 楽天市場店】スマートフォンアクセサリ全品送料無料！,楽天モバイル公式 楽天市場店にて、スマートフォンアクセサリ全品送料無料！フィルムやケースなど1点から送料無料です。,,楽天モバイル,料金割引・クーポン,,,,
16,デジコン_240423,/campaign/digital-contents/?l-id=campaign_member_campaign_digital-contents,bnr-digital-contents-328-185-240423.png,エンタメコンテンツがおトクに楽しめる！,楽天モバイルならNBA、パ・リーグ、ミュージックが追加料金0円で楽しめる！楽天マガジンは初回90日無料で雑誌読み放題！,,楽天モバイル／スポーツ・エンタメ,無料おためし,,,,
17,市場_Android_240520,https://www.rakuten.ne.jp/gold/rakutenmobile-store/product/smartphone/android/?scid=wi_rmb_ich_campaign_member_product_smartphone_android,bnr-ichiba-event-328-185-240520.png,"【楽天モバイル公式 楽天市場店限定】対象Android製品とRakuten最強プランセットご注文で6,000円OFFクーポン","楽天モバイル公式 楽天市場店で対象Android製品とRakuten最強プランセットご注文で使える6,000円OFFクーポンを配布中！商品ページに飛んでクーポンをGET！",　,楽天モバイル,料金割引・クーポン,,,,
18,1円CPN_2301124,/campaign/hand-5g-wifi-pocket-1yen/?l-id=campaign_member_campaign_hand-5g-wifi-pocket-1yen,bnr-hand-5g-wifi-pocket-1yen-328-185-231124.png,Rakuten WiFi Pocket 1円キャンペーン,2回線目以降でも対象！楽天モバイルへお申し込みでRakuten WiFi Pocket 2Cが1円で購入できるお得なキャンペーン,　,楽天モバイル,料金割引・クーポン,,,,
19,SPU_mobile_231201,/campaign/spu/?l-id=campaign_member_campaign_spu,bnr-spu-mobile-328-185-231201-member.png,契約後は楽天市場のお買い物でポイントが貯まりやすく！,楽天モバイルをご契約後は楽天市場のお買い物が毎日全員ポイント5倍に！さらに楽天のサービスを使えば使うほどポイントUP！,,お買い物,ポイント,,,,
20,ブックス_240301,https://books.rakuten.co.jp/event/campaign/mobile/yamawake/?scid=wi_rmi_cmp_all_mno_yamawake2403_list,bnr-books-328-185-240301.png,【楽天ブックス】100万ポイント山分け！,"エントリー＋楽天ブックスで税込1,000円以上購入で100万ポイントが山分けで当たるチャンス！",　,お買い物,ポイント,,,,
21,楽天ファッション_240318,https://brandavenue.rakuten.co.jp/contents/rakuten-link/?scid=wi_ich_exsi_rmb_mkdiv_campaign_rf,bnr-fashion-328-185-240318.png,【毎月開催】Rakuten Fashionで使える500円オフクーポン,"8,000円以上のお買い物で使えるクーポンをプレゼント！楽天ポイントが貯まる！使える！","※毎月先着利用3,000回限定",お買い物,クーポン,　,,,
22,Rakuma_240509,https://rakuma.rakuten.co.jp/info/campaign/buy/rakutencard-mobile/20240501/?scid=wi_rmb_cpnlist,bnr-rakuma-328-185-2404502.png,【楽天ラクマ】楽天カード決済のポイント最大5倍！,楽天モバイル契約者なら、楽天ラクマで出品するとラクマで楽天カード決済のお買い物がポイント3倍！売れたら5倍！,,暮らし・生活／お買い物,ポイント,,,,
23,イーグルス最強CPN_240202,https://www.rakuteneagles.jp/lp/rakutenmobile/?scid=wi_rmb_advEgl_240129_web_rm_exist,bnr-rakuteneagles-328-185-240202.png,楽天イーグルス×楽天モバイル最強キャンペーン,"ご契約中はグッズ・飲食・ファンクラブのポイントバックや無料観戦申し込みなどおトクが盛りだくさん！
2024シーズン中に楽天イーグルスの応援をもっと楽しむなら、楽天モバイル！",,スポーツ・エンタメ,景品・その他,,,,
24,楽天保険_231201,https://www.rakuten-insurance.co.jp/event/mobile_cpn4/?scid=wi_mbl_cpn_2303_cplist&argument=bdhoDoBc&dmai=a63ef44db5ec5f,bnr-insurance-328-185-240401.png,【楽天の保険】申込みで豪華景品を抽選でプレゼント！,対象となる楽天の保険の申込みで、ザッハトルテを20名様に抽選でプレゼント！,　,マネー・ファイナンス,景品・その他,　,,,
25,楽天証券口座開設CPN_230310,/campaign/sec-for-member/?l-id=campaignlist_sec_for_member,bnr-sec-for-member-328-185-230310.png,【楽天証券】口座開設キャンペーン,"エントリー＋口座開設で2,000ポイントプレゼント！",　,マネー・ファイナンス,ポイント,　,,,
26,楽天銀行_240301,https://www.rakuten-bank.co.jp/account/mno/exist1500.html?scid=wi_rmb_exist_211101_campaign,bnr-bank-328-185-240301.png,楽天銀行口座 新規開設キャンペーン,"【毎月開催】口座開設＆条件達成で1,500ポイントプレゼント！最短3分～申込完了＆印鑑不要！",,マネー・ファイナンス,ポイント,,,,
27,トラベル_230707,https://img.travel.rakuten.co.jp/image/tr/userm/xu/HMZvs/,bnr-travel-328-185-230707.png,"【楽天トラベル】初めて利用でポイント最大10,000ポイント！","対象サービスは、国内宿泊・国内ツアー・レンタカー・バス・
海外旅行(海外ホテル・海外ツアー・海外航空券)！   ",　,暮らし・生活,ポイント,　,,,
28,楽天Pay_230301,https://r10.to/hNxRFd,bnr-pay-328-185-231031.png,"【楽天ペイ】初めてのお支払いで最大3,000ポイントプレゼント","楽天ペイアプリを初めて&合計4,000円（税込）以上お支払いいただいた方に、もれなく800ポイントプレゼント中！
さらに10人に1人は追加で2,200ポイントもらえるチャンスも♪",　,マネー・ファイナンス,ポイント,　,,,
29,楽天マガジン_デジコン_220701,https://magazine.rakuten.co.jp/cpn/mno/?scid=wi_ich_exsi_rmb_mkdiv_campaignlist_exist&argument=vqhTTgFN&dmai=a62baae9d626e0,bnr-magazine-328-185-220701.png,【楽天マガジン】が初回90日無料！,"人気雑誌6,000冊/1,400誌以上が読み放題！無料期間終了後も月額プラン、年額プラン問わず利用料30%OFF！",　,スポーツ・エンタメ,無料おためし,　,,,
30,楽天music_240423,https://music.rakuten.co.jp/plan/bundle/?scid=wi_rmb_msc_campeign_bundle,bnr-music-328-185-240423.png,楽天ミュージックの音楽がずっと無料！,楽天モバイルご契約者なら、追加料金0円、登録不要で30日ごと5時間オンデマンドで聴き放題！今すぐ始めよう！,　,スポーツ・エンタメ,無料おためし,　,,,
31,NBA_231122,/campaign/nba/?l-id=campaign_member_campaign_nba,bnr-nba-328-185-231122.png,NBA全試合が無料で観られる！,日本人選手が活躍するチームを始め、開幕からNBAファイナルまで全試合を配信！,,スポーツ・エンタメ,景品・その他,　,,,
32,PLG_230401,https://tv.rakuten.co.jp/static/pacificleague/lp/mobile_cpn/?scid=wi_20230401_plg_lp_rmi&utm_source=plg_lp&utm_medium=rmi&utm_campaign=mno_site_bandle&argument=OKzUTvnU&dmai=a64228d2565ba4,bnr-plg-328-185-230301.png,追加料金0円でパ・リーグ主催の公式戦が見放題！,パ・リーグ主催のすべての公式戦がLIVE配信でお楽しみいただけます！見逃し配信にも対応！,　,スポーツ・エンタメ,景品・その他,　,,,
33,TV_230607,https://tv.rakuten.co.jp/static/mobile_cpn/lp/svod/?scid=?scid=wi_rmb_cpn_mnobandle_LP_toService_rmbsvodall,bnr-tv-328-185-230607.png,4つの専門ジャンルの月額プランがおトクに！,子ども向け動画やアジアドラマ、人気声優番組、任侠作品など豊富な動画コンテンツが見放題！月額プランが初回最大3カ月無料！無料期間後も、2回目以降のご利用の方も最大20％OFF！,　,スポーツ・エンタメ,景品・その他,　,,,
34,ショップLINEスタンプ_240312,https://event.rakuten.co.jp/okaimonopanda/line/mobileshop/?scid=wi_grp_gmx_linemobileshop_mno_cpnlist_exist,bnr-okaimonopanda-328-185-240312.png,お買いものパンダ「最強ポジティブ」LINEスタンプGET！,楽天モバイルショップへの来店で、お買いものパンダのLINEスタンプを無料でプレゼント！最強にポジティブなメッセージスタンプで、新生活も毎日ハッピーに過ごそう！,,楽天モバイル,景品・その他,,,,
35,楽天Car買取_240401,https://sell.car.rakuten.co.jp/campaign/mobile-point/?scid=wi_car-auc_rakuten_display_banner_mno_mobilecpn_other&utm_source=rakuten&utm_medium=display&utm_campaign=other_mno_mobilecpn,bnr-rakuten-car-328-185-240401.png,"【楽天Car車買取】で合計10,000ポイントプレゼント中！","楽天モバイルご契約者様なら、10万円（税込）以上の売却ご成約で合計10,000ポイントプレゼント！",,暮らし・生活,ポイント,,,,
36,楽天Carアプリ2倍_240410,https://app.adjust.com/1b271scc_1brgbhxj?redirect=https%3A%2F%2Fcar.rakuten.co.jp%2Fapp%2Fcampaign%2Fmobile%2F,bnr-carapp-328-185-240410.png,【毎月開催】楽天Carアプリでドライブポイントが1倍から2倍に！,楽天モバイルご契約者様ならキャンペーンエントリーと楽天Carアプリで2km以上のドライブでドライブポイントが1倍から2倍に！,,暮らし・生活,ポイント,,,,
37,日本列島宝探し_240425,/area/campaign/treasure-hunt?l-id=area_member_campaign_treasure-hunt,bnr-treasure-hunt-328-185-240425.png,「日本列島宝探し」総額650万ポイントが当たる！,謎を解いて、全国6か所に隠された宝箱を見つけよう。いろいろなミッションをクリアすると、それに応じて特典がもらえます。楽天会員なら参加OK,,スポーツ・エンタメ,ポイント,,,,
38,特典一覧（Rakuten Link）_240426,https://service.link.link/lp/otoku/campaign.html?scid=wi_link_otoku_MNOsite,bnr-rakutenlink-group-benefit-328-185-240426.png,特典情報一覧,楽天モバイルご契約者様限定の特典情報を紹介！ポイント、景品などの様々なおトク情報が盛りだくさん！,,楽天モバイル／お買い物／マネー・ファイナンス／暮らし・生活／スポーツ・エンタメ,ポイント／無料おためし／料金割引・クーポン／景品・その他,,,,
39,K-Dreams X RMI_240501,https://dream.rakuten.co.jp/event/mobile_keibakeirin2405,bnr-keiba-kdreams-328-185-240423.png,"対象期間中１万円以上ご購入の2,000名様に！馬券・車券の購入に使えるポイントを抽選で最大2,000円分プレゼント！","エントリー＋対象期間中の１万円以上ご購入の楽天モバイルご契約者様に、馬券・車券の購入に使えるポイントを最大2,000ptプレゼントします！",,スポーツ・エンタメ,ポイント,,,,
40,楽天スーパーマッチ_240517,https://dream.rakuten.co.jp/event/dream_mobile_supermatch_2405/?scid=wi_rmb_mno_cpn_member_dream_supermatch_pc_sp,bnr-super-match-328-185-240517.png,"【楽天競馬・楽天Kドリームス】
楽天モバイルご契約者様限定で！Rakuten SUPER MATCHの観戦チケットが当たる！",楽天モバイルご契約者様であれば、エントリー＋条件達成で、Rakuten SUPER MATCHの観戦チケットが当たります！, ,スポーツ・エンタメ,景品・その他, ,,,
