索引,事業者名,フリガナ（法人格除く）,ふりがな（法人格除く）
ウ,株式会社ウミガメ,ウミガメ,うみがめ
ウ,株式会社上田ケーブルビジョン,ウエダケーブルビジョン,うえだけーぶるびじょん
ウ,有限会社ウィル,ウィル,うぃる
エ,EYL株式会社,エイル,えいる
エ,HTCサービス株式会社,エイチティーシーサービス,えいちてぃーしーさーびす
エ,MIBソリューションズ株式会社,エムアイビーソリューションズ,えむあいびーそりゅーしょんず
エ,MXモバイリング株式会社,エムエックスモバイリング,えむえっくすもばいりんぐ
エ,NCカード株式会社,エヌシーカード,えぬしーかーど
エ,NDS株式会社,エヌディーエス,えぬでぃーえす
エ,NECネクサソリューションズ株式会社,エヌイーシーネクサソリューションズ,えぬいーしーねくさそりゅーしょんず
エ,NECネッツエスアイ株式会社,エヌイーシーネッツエスアイ,えぬいーしーねっつえすあい
エ,NJCネットコミュニケーションズ株式会社,エヌジェーシーネットコミュニケーションズ,えぬじぇーしーねっとこみゅにけーしょんず
エ,NSW株式会社,エヌエスダブリュー,えぬえすだぶりゅー
エ,NTTコミュニケーションズ株式会社,エヌティーティーコミュニケーションズ,えぬてぃーてぃーこみゅにけーしょんず
エ,Nプラス株式会社,エヌプラス,えぬぷらす
エ,SCSK株式会社,エスシーエスケイ,えすしーえすけい
エ,エイチ・シー・ネットワークス株式会社,エイチシーネットワークス,えいちしーねっとわーくす
エ,エイトレント株式会社,エイトレント,えいとれんと
エ,エキサイト株式会社,エキサイト,えきさいと
エ,エクシト東日本株式会社,エクシトヒガシニホン,えくしとひがしにほん
エ,エヌ・ティ・ティ・コミュニケーションズ株式会社,エヌティティコミュニケーションズ,えぬてぃてぃこみゅにけーしょんず
エ,エヌアイシー・ネットシステム株式会社,エヌアイシーネットシステム,えぬあいしーねっとしすてむ
エ,エフビットコミュニケーションズ株式会社,エフビットコミュニケーションズ,えふびっとこみゅにけーしょんず
エ,エムエスシステムサービス株式会社,エムエスシステムサービス,えむえすしすてむさーびす
エ,エルシーブイ株式会社,エルシーブイ,えるしーぶい
エ,株式会社AQライフ,エーキューライフ,えーきゅーらいふ
エ,株式会社FSコンサルティング,エフエスコンサルティング,えふえすこんさるてぃんぐ
エ,株式会社H2,エイチツー,えいちつー
エ,株式会社HBA,エイチビーエー,えいちびーえー
エ,株式会社HJP Corporation,エイチジェイピーコーポレーション,えいちじぇいぴーこーぽれーしょん
エ,株式会社LBY,エルビーワイ,えるびーわい
エ,株式会社MIT,エムアイティー,えむあいてぃー
エ,株式会社MITユニオン,エムアイティーユニオン,えむあいてぃーゆにおん
エ,株式会社NTS通信サービス,エヌティエスツウシンサービス,えぬてぃえすつうしんさーびす
エ,株式会社NTTデータ,エヌティティデータ,えぬてぃてぃでーた
エ,株式会社NTTドコモ,エヌティティドコモ,えぬてぃてぃどこも
エ,株式会社SIM,エスアイエム,えすあいえむ
エ,株式会社SIS,エスアイエス,えすあいえす
エ,株式会社SK Asset Management,エスケイアセットマネジメント,えすけいあせっとまねじめんと
エ,株式会社SOAシステムビジネス,エスオーエーシステムビジネス,えすおーえーしすてむびじねす
エ,株式会社エアリー,エアリー,えありー
エ,株式会社エーアイクリエイト,エーアイクリエイト,えーあいくりえいと
エ,株式会社エクスゲート,エクスゲート,えくすげーと
エ,株式会社エクスレイ,エクスレイ,えくすれい
エ,株式会社エコーステーション,エコーステーション,えこーすてーしょん
エ,株式会社エスイーシー,エスイーシー,えすいーしー
エ,株式会社エディオン,エディオン,えでぃおん
エ,株式会社エヌ・シィ・ティ,エヌシィティ,えぬしぃてぃ
エ,株式会社エヌ・ティ・ティ・データ,エヌティティデータ,えぬてぃてぃでーた
エ,株式会社エヌ・ティ・ティ・データ中国,エヌティティデータチュウゴク,えぬてぃてぃでーたちゅうごく
エ,株式会社エヌ・ティ・ティピー・シーコミュニケーションズ,エヌティティピーシーコミュニケーションズ,えぬてぃてぃぴーしーこみゅにけーしょんず
エ,株式会社エヌディエス,エヌディエス,えぬでぃえす
エ,株式会社エネクスライフサービス,エネクスライフサービス,えねくすらいふさーびす
エ,株式会社エネクル,エネクル,えねくる
エ,株式会社エフティグループ,エフティグループ,えふてぃぐるーぷ
エ,株式会社エフプレイン,エフプレイン,えふぷれいん
エ,株式会社エム・エム・ピー・ジー総研,エムエムピージーソウケン,えむえむぴーじーそうけん
エ,株式会社エムアイエス,エムアイエス,えむあいえす
エ,株式会社愛媛CATV,エヒメシーエーティヴィ,えひめしーえーてぃゔぃ
エ,株式会社縁人,エンジン,えんじん
オ,OKIクロステック株式会社,オキクロステック,おきくろすてっく
オ,OTNet株式会社,オーティーネット,おーてぃーねっと
オ,オーエーセンター株式会社,オーエーセンター,おーえーせんたー
オ,おおすみ半島スマートエネルギー株式会社,オオスミハントウスマートエネルギー,おおすみはんとうすまーとえねるぎー
オ,オムロンソーシアルソリューションズ株式会社,オムロンソーシアルソリューションズ,おむろんそーしあるそりゅーしょんず
オ,沖電気工業株式会社,オキデンキコウギョウ,おきでんきこうぎょう
オ,沖縄ケーブルネットワーク株式会社,オキナワケーブルネットワーク,おきなわけーぶるねっとわーく
オ,沖縄綜合警備保障株式会社,オキナワソウゴウケイビホショウ,おきなわそうごうけいびほしょう
オ,株式会社ALLBLUE,オールブルー,おーるぶるー
オ,株式会社Og,オグ,おぐ
オ,株式会社オー・エヌ・アイ,オーエヌアイ,おーえぬあい
オ,株式会社オーエフ,オーエフ,おーえふ
オ,株式会社オーティ・コムネット,オーティコムネット,おーてぃこむねっと
オ,株式会社オーレンス,オーレンス,おーれんす
オ,株式会社オカムラ,オカムラ,おかむら
オ,株式会社オフィスバスターズ,オフィスバスターズ,おふぃすばすたーず
オ,株式会社オフィスリンク,オフィスリンク,おふぃすりんく
オ,株式会社オプテージ,オプテージ,おぷてーじ
オ,株式会社オリンポス,オリンポス,おりんぽす
オ,株式会社岡村製作所,オカムラセイサクジョ,おかむらせいさくじょ
オ,株式会社沖創工,オキソウコウ,おきそうこう
オ,株式会社帯広シティーケーブル,オビヒロシティーケーブル,おびひろしてぃーけーぶる
オ,株式会社大関,オオゼキ,おおぜき
オ,株式会社大崎コンピュータエンヂニアリング,オオサキコンピュータエンヂニアリング,おおさきこんぴゅーたえんぢにありんぐ
オ,株式会社大塚商会,オオツカショウカイ,おおつかしょうかい
オ,大阪瓦斯株式会社,オオサカガス,おおさかがす
オ,株式会社OmniGrid,オム二グリッド,おむにぐりっど
カ,角栄ガス株式会社,カクエイガス,かくえいがす
カ,株式会社かいか,カイカ,かいか
カ,株式会社カムイ,カムイ,かむい
カ,株式会社からだ元気治療院,カラダゲンキチリョウイン,からだげんきちりょういん
カ,関越ネットワークシステム株式会社,カンエツネットワークシステム,かんえつねっとわーくしすてむ
カ,関西ブロードバンド株式会社,カンサイブロードバンド,かんさいぶろーどばんど
カ,関東通信工業株式会社,カントウデンシンコウギョウ,かんとうでんしんこうぎょう
キ,キヤノンITソリューションズ株式会社,キヤノンアイティーソリューションズ,きやのんあいてぃーそりゅーしょんず
キ,キューアンドエー株式会社,キューアンドエー,きゅーあんどえー
キ,キンキテレコム株式会社,キンキテレコム,きんきてれこむ
キ,株式会社Qtnet,キューティーネット,きゅーてぃーねっと
キ,株式会社キャムキャスト７,キャムキャストセブン,きゃむきゃすとせぶん
キ,株式会社キャリア,キャリア,きゃりあ
キ,株式会社キューネット,キューネット,きゅーねっと
キ,株式会社キューネットワークス,キューネットワークス,きゅーねっとわーくす
キ,株式会社北電子,キタデンシ,きたでんし
キ,近畿コンピュータサービス株式会社,キンキコンピュータサービス,きんきこんぴゅーたさーびす
キ,九州テレ・コミュニケーションズ株式会社,キュウシュウテレコミュニケーションズ,きゅうしゅうてれこみゅにけーしょんず
キ,行田ケーブルテレビ株式会社,ギョウダケーブルテレビ,ぎょうだけーぶるてれび
キ,北上ケーブルテレビ株式会社,キタカミケーブルテレビ,きたかみけーぶるてれび
キ,北野電子システム株式会社,キタノデンシシステム,きたのでんししすてむ
キ,有限会社銀座堂,ギンザドウ,ぎんざどう
ク,Cloco株式会社,クロコ,くろこ
ク,Global Advanced Communications合同会社,グローバルアドバンスドコミュニケーションズ,ぐろーばるあどばんすどこみゅにけーしょんず
ク,クリエイティブリンク株式会社,クリエイティブリンク,くりえいてぃぶりんく
ク,クリニカル・プラットフォーム株式会社,クリニカルプラットフォーム,くりにかるぷらっとふぉーむ
ク,株式会社GLOBAL WORKS,グローバルワークス,ぐろーばるわーくす
ク,株式会社Goolight,グーライト,ぐーらいと
ク,株式会社グリーンテック,グリーンテック,ぐりーんてっく
ク,株式会社クリエイト,クリエイト,くりえいと
ク,株式会社グローバライズ,グローバライズ,ぐろーばらいず
ク,株式会社グローバルネットコア,グローバルネットコア,ぐろーばるねっとこあ
ク,株式会社クロスチェック,クロスチェック,くろすちぇっく
ク,株式会社九地良,クジラ,くじら
ク,熊日都市圏販売株式会社,クマニチトシケンハンバイ,くまにちとしけんはんばい
ク,合同会社GRANDA,グランダ,ぐらんだ
ケ,Gateシステムズ株式会社,ゲートシステムズ,げーとしすてむず
ケ,一般財団法人研究学園都市コミュニティケーブルサービス,ケンキュウガクエントシコミュニティケーブルサービス,けんきゅうがくえんとしこみゅにてぃけーぶるさーびす
ケ,株式会社GameWith,ゲームウィズ,げーむうぃず
ケ,株式会社ケーブルテレビジョン島原,ケーブルテレビジョンシマバラ,けーぶるてれびじょんしまばら
ケ,株式会社ケーブルテレビ佐伯,ケーブルテレビサイキ,けーぶるてれびさいき
ケ,株式会社ケーブルネットワーク西瀬戸,ケーブルネットワークニシセト,けーぶるねっとわーくにしせと
ケ,株式会社ゲストアンサー,ゲストアンサー,げすとあんさー
ケ,株式会社ケンベアー,ケンベアー,けんべあー
ケ,株式会社建新,ケンシン,けんしん
ケ,気仙沼ケーブルネットワーク株式会社,ケセンヌマケーブルネットワーク,けせんぬまけーぶるねっとわーく
コ,Coltテクノロジーサービス株式会社,コルトテクノロジーサービス,こるとてくのろじーさーびす
コ,GO JAPAN 株式会社,ゴージャパン,ごーじゃぱん
コ,コスモテレコム株式会社,コスモテレコム,こすもてれこむ
コ,コニカミノルタジャパン株式会社,コニカミノルタジャパン,こにかみのるたじゃぱん
コ,コネクトフリー株式会社,コネクトフリー,こねくとふりー
コ,コモタ株式会社,コモタ,こもた
コ,コワーキング協同組合,コワーキングキョウドウクミアイ,こわーきんぐきょうどうくみあい
コ,株式会社コアラ,コアラ,こあら
コ,株式会社コーデック,コーデック,こーでっく
コ,株式会社コスト削減グループ,コストサクゲングループ,こすとさくげんぐるーぷ
コ,株式会社コネクト,コネクト,こねくと
コ,株式会社コペル,コペル,こぺる
コ,株式会社コムレイド,コムレイド,こむれいど
コ,株式会社コメットウェブ,コメットウェブ,こめっとうぇぶ
コ,株式会社近藤商会,コンドウショウカイ,こんどうしょうかい
コ,株式会社広域高速ネット二九六,コウイキコウソクネットニキュウロク,こういきこうそくねっとにきゅうろく
コ,株式会社広済堂ネクスト,コウサイドウネクスト,こうさいどうねくすと
コ,株式会社庚伸,コウシン,こうしん
コ,株式会社高知通信機,コウチツウシンキ,こうちつうしんき
コ,株式会社廣済堂,コウサイドウ,こうさいどう
コ,古河ケーブルテレビ株式会社,コガケーブルテレビ,こがけーぶるてれび
コ,向陽オフィスシステムズ株式会社,コウヨウオフィスシステムズ,こうようおふぃすしすてむず
コ,生活協同組合連合会コープ東北サンネット事業連合,コープトウホクサンネットジギョウレンゴウ,こーぷとうほくさんねっとじぎょうれんごう
サ,サイバーコム株式会社,サイバーコム,さいばーこむ
サ,サクサ株式会社,サクサ,さくさ
サ,株式会社サガス,サガス,さがす
サ,株式会社サブスクマーケット,サブスクマーケット,さぶすくまーけっと
サ,株式会社サリエア,サリエア,さりえあ
サ,株式会社サンエー,サンエー,さんえー
サ,株式会社サンエス・マネジメント・システムス,サンエスマネジメントシステムス,さんえすまねじめんとしすてむす
サ,株式会社サンオーコミュニケーションズ,サンオーコミュニケーションズ,さんおーこみゅにけーしょんず
サ,株式会社サンクレエ,サンクレエ,さんくれえ
サ,株式会社サンライズ,サンライズ,さんらいず
サ,株式会社サンライズシステムズ,サンライズシステムズ,さんらいずしすてむず
サ,株式会社サンロフト,サンロフト,さんろふと
サ,株式会社サンワ,サンワ,さんわ
サ,株式会社佐渡テレビジョン,サドテレビジョン,さどてれびじょん
サ,株式会社三和,サンワ,さんわ
サ,株式会社三和テレム,サンワテレム,さんわてれむ
サ,狭山ケーブルテレビ株式会社,サヤマケーブルテレビ,さやまけーぶるてれび
サ,三陸ブロードネット株式会社,サンリクブロードネット,さんりくぶろーどねっと
サ,有限会社サニーネット,サニーネット,さにーねっと
シ,GMOインターネットグループ株式会社,ジーエムオーインターネット,じーえむおーいんたーねっと
シ,JIT株式会社,ジェイアイティー,じぇいあいてぃー
シ,ジーマックスメディアソリューション株式会社,ジーマックスメディアソリューション,じーまっくすめでぃあそりゅーしょん
シ,ジェットインターネット株式会社,ジェットインターネット,じぇっといんたーねっと
シ,システムロード株式会社,システムロード,しすてむろーど
シ,シニアサポートサービス株式会社,シニアサポートサービス,しにあさぽーとさーびす
シ,シャープマーケティングジャパン株式会社,シャープマーケティングジャパン,しゃーぷまーけてぃんぐじゃぱん
シ,ジャパンケーブルキャスト株式会社,ジャパンケーブルキャスト,じゃぱんけーぶるきゃすと
シ,株式会社Ｃ・Ｓ・Ｒ,シーエスアール,しーえすあーる
シ,株式会社CATV富士五湖,シーエーティーブイフジゴコ,しーえーてぃーぶいふじごこ
シ,株式会社CRCCメディア,シーアールシーシーメディア,しーあーるしーしーめでぃあ
シ,株式会社Ｇ.Ｉ.Ｎ,ジーアイエヌ,じーあいえぬ
シ,株式会社J.C.O.S,ジェイシーオーエス,じぇいしーおーえす
シ,株式会社JPIX,ジェーピーアイエックス,じぇーぴーあいえっくす
シ,株式会社JWAY,ジェイウェイ,じぇいうぇい
シ,株式会社shelter,シェルター,しぇるたー
シ,株式会社シージェイシステム,シージェイシステム,しーじぇいしすてむ
シ,株式会社ジーツーテック,ジーツーテック,じーつーてっく
シ,株式会社シーファイブ,シーファイブ,しーふぁいぶ
シ,株式会社ジェイ・エス・エス,ジェイエスエス,じぇいえすえす
シ,株式会社ジェイ･エス･ディー,ジェイエスディー,じぇいえすでぃー
シ,株式会社ジェイ・ファクトリー,ジェイファクトリー,じぇいふぁくとりー
シ,株式会社ジェイエヌシステム,ジェイエヌシステム,じぇいえぬしすてむ
シ,株式会社ジェイシーエス,ジェイシーエス,じぇいしーえす
シ,株式会社ジェネット,ジェネット,じぇねっと
シ,株式会社シグナル,シグナル,しぐなる
シ,株式会社システナ,システナ,しすてな
シ,株式会社シティビルサービス,シティビルサービス,してぃびるさーびす
シ,株式会社シナプス,シナプス,しなぷす
シ,株式会社ジャイロ,ジャイロ,じゃいろ
シ,株式会社ジャパンコミュニケーションズインスティテュート,ジャパンコミュニケーションズインスティテュート,じゃぱんこみゅにけーしょんずいんすてぃてゅーと
シ,株式会社シンアイ産業,シンアイサンギョウ,しんあいさんぎょう
シ,株式会社四国中央テレビ,シコクチュウオウテレビ,しこくちゅうおうてれび
シ,株式会社城北通信サービス,ジョウホクツウシンサービス,じょうほくつうしんさーびす
シ,株式会社常口アトム,ジョウグチアトム,じょうぐちあとむ
シ,株式会社信州ケーブルテレビジョン,シンシュウケーブルテレビジョン,しんしゅうけーぶるてれびじょん
シ,株式会社新昭和,シンショウワ,しんしょうわ
シ,住宅設備アシスト株式会社,ジュウタクセツビアシスト,じゅうたくせつびあしすと
シ,上越ケーブルビジョン株式会社,ジョウエツケーブルビジョン,じょうえつけーぶるびじょん
シ,有限会社シスネット企画,シスネットキカク,しすねっときかく
ス,スターティア株式会社,スターティア,すたーてぃあ
ス,スターネット株式会社,スターネット,すたーねっと
ス,ステラグループ株式会社,ステラグループ,すてらぐるーぷ
ス,スマートモバイルコミュニケーションズ株式会社,スマートモバイルコミュニケーションズ,すまーともばいるこみゅにけーしょんず
ス,スリム通信ネットワーク株式会社,スリムツウシンネットワーク,すりむつうしんねっとわーく
ス,一般社団法人水城ICT教育振興会,スイジョウアイシーティーキョウイクシンコウカイ,すいじょうあいしーてぃーきょういくしんこうかい
ス,株式会社3S,スリーエス,すりーえす
ス,株式会社スーパーリージョナル,スーパーリージョナル,すーぱーりーじょなる
ス,株式会社スカイダイニング,スカイダイニング,すかいだいにんぐ
ス,株式会社スクルト,スクルト,すくると
ス,株式会社スタディスト,スタディスト,すたでぃすと
ス,株式会社スピーディア,スピーディア,すぴーでぃあ
ス,株式会社スマートテック,スマートテック,すまーとてっく
ス,有限会社スガワラ電化,スガワラデンカ,すがわらでんか
ス,鈴与商事株式会社,スズヨショウジ,すずよしょうじ
ス,株式会社スマートライフ,スマートライフ,すまーとらいふ
セ,ゼロテレコム株式会社,ゼロテレコム,ぜろてれこむ
セ,一般社団法人全国中小企業支援団体連合会,ゼンコクチュウショウキギョウシエンダンタイレンゴウカイ,ぜんこくちゅうしょうきぎょうしえんだんたいれんごうかい
セ,株式会社SalesLab,セールスラボ,せーるすらぼ
セ,株式会社Sekken,セッケン,せっけん
セ,株式会社セキュリティエージェント,セキュリティエージェント,せきゅりてぃえーじぇんと
セ,積水化学工業株式会社,セキスイカガクコウギョウ,せきすいかがくこうぎょう
セ,仙台CATV株式会社,センダイシーエーティヴィ,せんだいしーえーてぃヴぃ
セ,株式会社SEILAN,セイラン,せいらん
ソ,SORAシム株式会社,ソラシム,そらしむ
ソ,ソニーネットワークコミュニケーションズ株式会社,ソニーネットワークコミュニケーションズ,そにーねっとわーくこみゅにけーしょんず
ソ,ソニービズネットワークス株式会社,ソニービズネットワークス,そにーびずねっとわーくす
ソ,ソフィアデジタル株式会社,ソフィアデジタル,そふぃあでじたる
ソ,ソフトイーサ株式会社,ソフトイーサ,そふといーさ
ソ,ソフトバンク株式会社,ソフトバンク,そふとばんく
ソ,株式会社ソフィア,ソフィア,そふぃあ
ソ,株式会社曽我,ソガ,そが
ソ,綜合警備保障株式会社,ソウゴウケイビホショウ,そうごうけいびほしょう
タ,株式会社TAM,タム,たむ
タ,株式会社タイズ,タイズ,たいず
タ,株式会社ダイバーシティメディア,ダイバーシティメディア,だいばーしてぃめでぃあ
タ,株式会社ダイプロ,ダイプロ,だいぷろ
タ,株式会社ダイマグ,ダイマグ,だいまぐ
タ,株式会社タイムリー,タイムリー,たいむりー
タ,高岡ケーブルネットワーク株式会社,タカオカケーブルネットワーク,たかおかけーぶるねっとわーく
タ,大栄電子株式会社,ダイエイデンシ,だいえいでんし
タ,大興電子通信株式会社,ダイコウデンシツウシン,だいこうでんしつうしん
タ,大成株式会社,タイセイ,たいせい
タ,第一警備保障株式会社,ダイイチケイビホショウ,だいいちけいびほしょう
タ,有限会社タッチ,タッチ,たっち
タ,蓼科ケーブルビジョン株式会社,タテシナケーブルビジョン,たてしなけーぶるびじょん
チ,チェックフィールド株式会社,チェックフィールド,ちぇっくふぃーるど
チ,株式会社CHIBAむつざわエナジー,チバムツザワエナジー,ちばむつざわえなじー
チ,株式会社ちゅピCOM,チュピコム,ちゅぴこむ
チ,株式会社ちゅピCOMおのみち,チュピコムオノミチ,ちゅぴこむおのみち
チ,株式会社千葉測器,チバソッキ,ちばそっき
チ,中部事務機株式会社,チュウブジムキ,ちゅうぶじむき
ツ,つばめガス株式会社,ツバメガス,つばめがす
ツ,株式会社つうけんアドバンスシステムズ,ツウケンアドバンスシステムズ,つうけんあどばんすしすてむず
ツ,株式会社つくばインターネットサービス,ツクバインターネットサービス,つくばいんたーねっとさーびす
ツ,辻・本郷ITコンサルティング株式会社,ツジホンゴウアイティーコンサルティング,つじほんごうあいてぃーこんさるてぃんぐ
テ,D.U-NET株式会社,ディーユーネット,でぃーゆーねっと
テ,DX HUB株式会社,ディーエックスハブ,でぃーえっくすはぶ
テ,DX通信株式会社,ディーエックスツウシン,でぃーえっくすつうしん
テ,デジタルテクノロジー株式会社,デジタルテクノロジー,でじたるてくのろじー
テ,テレビやつしろ株式会社,テレビヤツシロ,てれびやつしろ
テ,デンフォン株式会社,デンフォン,でんふぉん
テ,株式会社DTS,ディーティーエス,でぃーてぃーえす
